epoch,train_loss,train_exact_match,train_token_error_rate,train_top5_accuracy,val_loss,val_exact_match,val_token_error_rate,val_top5_accuracy
1,6.998744586906811,0.006234413965087282,0.9937655860349127,0.04950495049504951,6.067159473896027,0.0106951871657754,0.9893048128342246,0.046875
2,6.114659536002886,0.011221945137157107,0.9887780548628429,0.05198019801980198,6.168295760949452,0.0,1.0,0.041666666666666664
3,6.161496082154831,0.006234413965087282,0.9937655860349127,0.04207920792079208,6.07607626914978,0.0106951871657754,0.9893048128342246,0.0625
4,6.100323492937749,0.007481296758104738,0.9925187032418953,0.04579207920792079,6.13459712266922,0.0053475935828877,0.9946524064171123,0.052083333333333336
5,6.048788420044549,0.00997506234413965,0.9900249376558603,0.05198019801980198,5.9239500761032104,0.0106951871657754,0.9893048128342246,0.052083333333333336
6,5.952786436175356,0.007481296758104738,0.9925187032418953,0.04207920792079208,5.841429769992828,0.0106951871657754,0.9893048128342246,0.057291666666666664
7,5.877373662325415,0.004987531172069825,0.9950124688279302,0.04950495049504951,5.773832778135936,0.0053475935828877,0.9946524064171123,0.0642361119389534
8,5.873234767724972,0.007481296758104738,0.9925187032418953,0.04207920792079208,5.839001357555389,0.0106951871657754,0.9893048128342246,0.057291666666666664
9,5.840776972251363,0.00997506234413965,0.9900249376558603,0.05693069306930693,5.752412517865499,0.0053475935828877,0.9946524064171123,0.036458333333333336
10,5.790445304152989,0.012468827930174564,0.9875311720698254,0.0594059405940594,5.725875794887543,0.0053475935828877,0.9946524064171123,0.057291666666666664
11,5.84652841209185,0.003740648379052369,0.9962593516209476,0.034653465346534656,5.725291808446248,0.0053475935828877,0.9946524064171123,0.0625
12,5.828210042254759,0.004987531172069825,0.9950124688279302,0.03712871287128713,5.724260906378428,0.016042780748663103,0.983957219251337,0.06770833333333333
13,5.796025568896001,0.01371571072319202,0.986284289276808,0.04702970297029703,5.7159814437230425,0.0106951871657754,0.9893048128342246,0.0625
14,5.820179344403861,0.008728179551122194,0.9912718204488778,0.04084158415841584,5.77891331911087,0.016042780748663103,0.983957219251337,0.07291666666666667
15,5.76896072142195,0.00997506234413965,0.9900249376558603,0.0594059405940594,5.765949507554372,0.0106951871657754,0.9893048128342246,0.057291666666666664
16,5.788892524077161,0.012468827930174564,0.9875311720698254,0.04950495049504951,5.658828020095825,0.0106951871657754,0.9893048128342246,0.036458333333333336
17,5.769912960505722,0.007481296758104738,0.9925187032418953,0.034653465346534656,5.776211122671763,0.0,1.0,0.041666666666666664
18,5.755215314355227,0.012468827930174564,0.9875311720698254,0.06683168316831684,5.6939491629600525,0.0106951871657754,0.9893048128342246,0.057291666666666664
19,5.733063197371983,0.012468827930174564,0.9875311720698254,0.04455445544554455,5.678828616937001,0.0106951871657754,0.9893048128342246,0.041666666666666664
20,5.741427369637065,0.00997506234413965,0.9900249376558603,0.053217821782178217,5.737867256005605,0.0053475935828877,0.9946524064171123,0.052083333333333336
21,5.64453107531708,0.008728179551122194,0.9912718204488778,0.06311881188118812,5.594888707002004,0.0053475935828877,0.9946524064171123,0.046875
22,5.444870594704505,0.017456359102244388,0.9825436408977556,0.10767326732673267,5.450589994589488,0.016042780748663103,0.983957219251337,0.07291666666666667
